Question,Answer,Image
"What is biodiversity?","Biodiversity refers to the variety of all living organisms on Earth, including differences within species and between species across ecosystems."
"What is biological classification?","Biological classification is the process of dividing living organisms into groups and subgroups based on their similarities and differences."
"Why is classification needed?","Classification is necessary to study and understand the vast number of living organisms systematically, as there are around 8.7 million species on Earth."
"What are the five kingdoms in Whittaker's classification?","The five kingdoms are Monera, Protista, Fungi, Plantae, and Animalia."
"What are the criteria for Whittaker's classification?","The criteria include cell structure, organism complexity, mode of nutrition, lifestyle, and phylogenetic relationships."
"Who introduced the binomial nomenclature system?","Carl Linnaeus introduced the binomial nomenclature system in 1735."
"Which kingdoms include unicellular organisms?","Unicellular organisms are included in Monera and Protista."
"What are the characteristics of the Monera kingdom?","Monera includes unicellular organisms that are prokaryotic, can be autotrophic or heterotrophic, and lack distinct nuclei or organelles."
"What are the characteristics of the Protista kingdom?","Protista includes single-celled eukaryotic organisms with a defined nucleus and organelles, and they can be autotrophic or heterotrophic."
"How do fungi obtain nutrition?","Fungi are saprotrophic, obtaining nutrition by absorbing decaying organic matter."
"What are the cell wall components in fungi?","The cell wall of fungi is made up of chitin."
"What are viruses?","Viruses are microscopic particles that are not considered fully living. They consist of DNA or RNA enclosed in a protein coat and can replicate only inside a host cell."
"State the characteristics of bacteria.","Bacteria are unicellular, prokaryotic organisms with a cell wall but no distinct nucleus or organelles. They reproduce by binary fission."
"Name some examples of fungi.","Examples of fungi include Baker's yeast, Aspergillus, Penicillium, and mushrooms."
"Name examples of diseases caused by viruses.","Human diseases include polio, influenza, and AIDS. In plants, examples are Tomato Wilt Virus and Tobacco Mosaic Virus."
"How do Amoeba move?","Amoeba move using pseudopodia, which are temporary projections of the cell."
"Name the levels of hierarchy in biological classification.","The levels include Domain, Kingdom, Phylum, Class, Order, Family, Genus, and Species."
"What are autotrophic and heterotrophic organisms?","Autotrophic organisms produce their own food (e.g., plants), while heterotrophic organisms depend on other organisms for food (e.g., animals and fungi)."
"What are the two main groups of living organisms based on cell structure?","The two groups are Prokaryotes and Eukaryotes."
"What is the role of fungi in the ecosystem?","Fungi act as decomposers, breaking down dead organic material and recycling nutrients into the environment."
"What is the main difference between prokaryotic and eukaryotic cells?","Prokaryotic cells lack a nucleus and membrane-bound organelles, while eukaryotic cells have both."
"Give examples of autotrophic Protista.","Examples include Euglena and Volvox."
"Explain the lifestyle of plants, animals, and fungi in Whittaker's classification.","Plants are producers, animals are consumers, and fungi are decomposers."
"What are the locomotion structures in Protista?","Protista use structures like pseudopodia, cilia, or flagella for locomotion."
"Name some pathogenic bacteria.","Examples include Vibrio cholerae (causes cholera), Clostridium tetani (causes tetanus), and Salmonella typhi (causes typhoid)."
"What does the term 'phylogenetic relationship' mean?","It refers to the evolutionary relationship among species, showing how they are related through common ancestors."
"How does the size of bacteria compare to viruses?","Bacteria are larger (1–10 µm) compared to viruses (10–100 nm)."
